leaf_sample	species	assoc_soil_sample	soil_type	C_leaf	N_leaf	Ca_leaf	Mg_leaf	Na_leaf	K_leaf	P_leaf	Cr_leaf	Fe_leaf	Mn_leaf	Ni_leaf	Al_leaf	Cu_leaf	Zn_leaf	S_leaf	Pb_leaf	Co_leaf	Cd_leaf	Mo_leaf	assoc_leaf_sample	H2O_pH_soil	Kcl_pH_soil	C_soil	N_soil	Ca_soil	Mg_soil	Na_soil	K_soil	P_soil	Cr_soil	Fe_soil	Mn_soil	Ni_soil	Al_soil	Cu_soil	Zn_soil	S_soil	Pb_soil	Co_soil	Cd_soil	Mo_soil
che1126	che	che1126	sed	459.1	11.68	16.55	2.47	0.18	7.32	702	322	34.93	25.38	2.02	15.63	4.35	10.56	1717	0.9	0.14	0.1	0.3	1126	6.92	6.07	60.14	4.03	15926	8275	3139	698	300	782	88372	8480	425	62799	90	64.8	1031	5	293	3	5
che1127	che	che1127	sed	449.6	10.84	16.08	3.05	0.08	6.65	679	831	31.26	27.92	2.06	12.59	4.16	10.94	1878	0.9	0.14	0.1	0.3	1127	6.68	5.68	44.16	3.04	14005	7893	4422	621	240	207	74929	5703	170	64633	90.1	62.8	510	5	287	3	5
che1129	che	che1127	sed	443.6	11.91	14.21	2.57	0.14	14.51	779	0.55	39.89	21.57	3.4	5	4.57	11.69	1777	0.9	0.43	0.1	1	1127	6.68	5.68	44.16	3.04	14005	7893	4422	621	240	207	74929	5703	170	64633	90.1	62.8	510	5	287	3	5
che1130	che	che1130	sed	454.2	10.94	14.06	2.71	0.52	13.24	780	599	34.09	18.68	2.14	4.43	5.36	8.86	1761	0.9	0.43	0.1	1	1130	7.07	5.96	37.84	2.98	14082	9362	3587	959	296	216	78290	5532	121	67869	94	46.8	555	5	272	3	5
che1131	che	che1131	sed	444.2	14.19	17.14	2.35	0.07	17.7	782	0.55	35.71	29.33	2.95	5	4.74	10.19	2008	0.9	0.43	0.1	1	1131	7.13	6.14	69.77	4.41	17199	7025	4529	1063	324	204	71867	9678	152	53601	76	81.1	822	5	351	3	5
ctpar1098	ctpar	ctpar1098	sed	429.6	10.93	14.32	2.09	4.28	9.18	792	346	37.85	13.69	2.33	19.01	5.71	6.05	1598	0.9	0.14	0.1	0.3	1098	7.29	5.88	24.85	1.63	39866	19506	15818	1716	249	370	72604	2491	128	74097	95.7	90.1	212	5	103	3	5
ctpar1099	ctpar	ctpar1099	sed	415.1	14.45	16.73	2.54	3.93	9.85	708	520	59.21	13.63	4.8	27.73	5.33	7.07	1891	0.9	0.14	0.1	0.3	1099	7.25	5.89	17.38	1.19	45925	24559	13191	2417	326	319	84563	2727	121	64931	96.4	106	181	5	112	3	5
ctpar1100	ctpar	ctpar1100	sed	410.6	13.7	26.04	2.11	2.91	13.56	1047	1	106.49	16.97	6.41	68.85	6.01	7.51	1621	0.9	0.14	0.1	0.3	1100	6.94	5.68	32.19	2.28	35058	18889	12580	1723	342	258	76096	2494	105	68749	104	79.9	257	5	104	3	5
ctpar1101	ctpar	ctpar1101	sed	407.2	15.75	11.25	2.19	3.76	21.08	1526	1	137.71	17.24	8.43	90.99	6.11	9.57	2095	0.9	0.14	0.1	0.3	1101	7.88	6.86	26.76	1.79	42375	22695	11887	1919	303	357	82267	2565	144	63145	101	97	248	5	110	3	5
ctpar1102	ctpar	ctpar1102	sed	420	13.98	14.5	2.55	2.64	13.3	931	1	90.04	20.3	4.35	53.96	4.8	8.12	1628	0.9	0.14	0.1	0.3	1102	6.95	5.78	41.06	3.1	35865	18641	12074	1767	369	320	76022	2384	105	66008	101	95.2	411	5	102	3	5
ctpar1103	ctpar	ctpar1102	sed	422.7	11.91	26.48	2.06	4.7	5	580	485	31.21	19.55	1.81	8	4.41	5.12	2248	0.9	0.14	0.1	0.3	1102	6.95	5.78	41.06	3.1	35865	18641	12074	1767	369	320	76022	2384	105	66008	101	95.2	411	5	102	3	5
